2020010041;COLORANTE CITOCOL PASTILLA 25G ;41;VIOLETA AZULADO;CITOCOL PASTILLA 25G;1.75011E+13;;;
2020010042;COLORANTE CITOCOL PASTILLA 25G ;42;AZUL TURQUESA;CITOCOL PASTILLA 25G;1.75011E+13;;;
2020010043;COLORANTE CITOCOL PASTILLA 25G ;43;AZUL (BLUE);CITOCOL PASTILLA 25G;1.75011E+13;;;
2020010044;COLORANTE CITOCOL PASTILLA 22G ;44;PARDO BISMARCK;CITOCOL PASTILLA 22G;1.75011E+13;;;
2020010045;COLORANTE CITOCOL PASTILLA 22G ;45;PARDO CASTAÑO;CITOCOL PASTILLA 22G;1.75011E+13;;;
2020010046;COLORANTE CITOCOL PASTILLA 25G ;46;VERDE OLIVA;CITOCOL PASTILLA 25G;1.75011E+13;;;
2020010049;COLORANTE CITOCOL PASTILLA 22G ;49;CAFÉ;CITOCOL PASTILLA 25G;1.75011E+13;;;
2020010050;COLORANTE CITOCOL PASTILLA 22G ;50;CARDENAL;CITOCOL PASTILLA 25G;1.75011E+13;;;
2010010655;COLORANTE MARIPOSA PASTILLA 32 GRS;655;AZUL MEZCLILLA;MARIPOSA PASTILLA 32G;1.75011E+13;;;
2020020001;COLORANTE CITOCOL SOBRE 20G;1;NEGRO;CITOCOL SOBRE 20G;1.75011E+13;;;
2020020001F;COLORANTE CITOCOL SOBRE 20G FM.;;NEGRO;COLORANTE CITOCOL SOBRE 20G FM;1.75011E+13;;;
2020020005;COLORANTE CITOCOL SOBRE 20G;5;ROJO AMAPOLA;CITOCOL SOBRE 20G;1.75011E+13;;;
2020020006;COLORANTE CITOCOL SOBRE 20G;6;VERDE OSCURO;CITOCOL SOBRE 20G;1.75011E+13;;;
2020020007;COLORANTE CITOCOL SOBRE 20G;7;ROJO OSCURO;CITOCOL SOBRE 20G;1.75011E+13;;;
2020020009;COLORANTE CITOCOL SOBRE 20G;9;GRIS OSCURO;CITOCOL SOBRE 20G;1.75011E+13;;;
2020020011;COLORANTE CITOCOL SOBRE 20G;11;AZUL CLARO;CITOCOL SOBRE 20G;1.75011E+13;;;
2020020012;COLORANTE CITOCOL SOBRE 20G;12;CREMA;CITOCOL SOBRE 20G;1.75011E+13;;;
2020020015;COLORANTE CITOCOL SOBRE 20G;15;NARANJA;CITOCOL SOBRE 20G;1.75011E+13;;;
2020020016;COLORANTE CITOCOL SOBRE 20G;16;AMARILLO ORO;CITOCOL SOBRE 20G;1.75011E+13;;;
2020020019;COLORANTE CITOCOL SOBRE 20G;19;AZUL OSCURO;CITOCOL SOBRE 20G;1.75011E+13;;;
2020020020;COLORANTE CITOCOL SOBRE 20G;20;ROSA;CITOCOL SOBRE 20G;1.75011E+13;;;
2020020021;COLORANTE CITOCOL SOBRE 20G;21;AZUL MARINO;CITOCOL SOBRE 20G;1.75011E+13;;;
