SKU1,CODIGO2,TIPO3,MULTIPLO4,DESCRIPCION5,EXISTENCIA6,UM7,COSTO_PROMEDIO8
1321074084,7501130571420,B,12,COLECTIVA 12 VELA VOTIVA 3.8 X 4.5 CM HONEY DEW  VERDE LIMÓN,1061,PZ,21.21822
1321074085,7501130573264,B,12,COLECTIVA 12 VELA VOTIVA 3.8 X 4.5 CM CHRISTMAS SCENT  VERDE OSCURO,343,PZ,14.11818
1321074115,7501130571413,B,12,COLECTIVA 12 VELA VOTIVA 3.8 X 4.5 CM RAIN FOREST  AZUL REY,997,PZ,19.33549
1321074165,7501130571390,B,12,COLECTIVA 12 VELA VOTIVA 3.8 X 4.5 CM LAVANDA  LILA,1274,PZ,20.50463
1321074163,7501130579570,B,12,COLECTIVA 12 VELA VOTIVA 3.8 X 4.5 CM WILD BERRIES  MORADO,811,PZ,10.53458
1321074051,7501130579419,B,12,COLECTIVA 12 VELA VOTIVA 3.8 X 4.5 CM LAVANDA  FIUSHA,1112,PZ,13.82482
1321074055,7501130579426,B,12,COLECTIVA 12 VELA VOTIVA 3.8 X 4.5 CM RAIN FOREST  AZUL TURQUESA,1026,PZ,20.71737
2170600000,27501130554007,B,0,COLECTIVA  ACUARELA C/6 PASTILLAS CARTÓN   VARIOS,7235,PZ,1.41105
2321052037,7501130578337,B,12,COLECTIVA 12 CIRIO S/BAÑO 4.7 X 11 CM (1) SIN AROMA  BLANCO,2114,PZ,7.26864
2321052010,7501130578306,B,12,COLECTIVA 12 CIRIO S/BAÑO 4.7 X 11 CM (1) SIN AROMA  CREMA,945,PZ,7.13796
2321052050,7501130578313,B,12,COLECTIVA 12 CIRIO S/BAÑO 4.7 X 11 CM (1) SIN AROMA  ROSA,5143,PZ,5.94165
2321052060,7501130578344,B,12,COLECTIVA 12 CIRIO S/BAÑO 4.7 X 11 CM (1) SIN AROMA  ROJO,3452,PZ,7.5583
2321052038,17501130589903,B,12,COLECTIVA 12 CIRIO S/BAÑO 4.7 X 11 CM(1) SIN AROMA  AMARILLO,286,PZ,6.17253
2321052115,17501130580153,B,12,COLECTIVA 12 CIRIO S/BAÑO 4.7 X 11 CM (1) SIN AROMA  AZUL FUERTE,125,PZ,6.4652
2321052138,7501130578351,B,12,COLECTIVA 12 CIRIO C/BAÑO 5.5 X 11 CM (1) SIN AROMA  PLATA,907,PZ,6.26198
2321040138,7501130578429,B,12,COLECTIVA 12 CIRIO C/BAÑO 5.5 X 6CM  SIN AROMA  PLATA,159,PZ,6.43742
2321040130,7501130578436,B,12,COLECTIVA 12 CIRIO C/BAÑO 5.5 X 6CM  SIN AROMA  ORO,664,PZ,0.63277
2321042010P,7501130578405,B,0,COLECTIVA  CIRIO S/BAÑO 4.7 X 6 CM (1/2) SIN AROMA  BLANCO,0,PZ,3.34369
2321042037P,7501130578375,B,0,COLECTIVA  CIRIO S/BAÑO 4.7 X 6 CM (1/2) SIN AROMA  CREMA,0,PZ,3.37363
2321042050,7501130578382,B,0,COLECTIVA  CIRIO S/BAÑO 4.7 X 6 CM (1/2) SIN AROMA  ROSA,701,PZ,3.55461
2321042060P,7501130578412,B,0,COLECTIVA  CIRIO S/BAÑO 4.7 X 6 CM (1/2) SIN AROMA  ROJO,0,PZ,3.15637
2170681000,27501130541649,B,0,COLECTIVA  CRAYONES CAJA C/6 DELGADO   VARIOS,2491,PZ,1.15725
1012040003,27501130578812,B,20,COLECTIVA 20 VELA CHOCOLATE CUBO CHICO CON AROMA  CHOCOLATE,212,PZ,1.6625
1012040004,27501130578799,B,16,COLECTIVA 16 VELA CHOCOLATE CORAZÒN CHICO CON AROMA  CHOCOLATE,107,PZ,1.81467
1012040005,27501130578805,B,16,COLECTIVA 16 VELA CHOCOLATE ESFERA CHICO CON AROMA  CHOCOLATE,85,PZ,2.09494
3000008010,7501130514700,B,10,COLECTIVA 10 TEA LIGHT CAJA C/10 PZS SIN AROMA  BLANCO,1789,PZ,6.47453
3000008011,7501130584543,B,10,COLECTIVA 10 TEA LIGHT CAJA C/10 PZS CON AROMA  CREMA,3244,PZ,6.89774
3000008012,7501130584529,B,10,COLECTIVA 10 TEA LIGHT CAJA C/10 PZS CON AROMA  ROJO,1253,PZ,6.36255
3000009010,7501130515066,B,50,COLECTIVA 50 TEA LIGHT CAJA C/50 PZS SIN AROMA  BLANCO,693,PZ,36.42205
2321210000,17501130584014,B,10,COLECTIVA 10 SMOKE EATER CON AROMA  BLANCO,122,PZ,65.78046
2150953000,7501130572144,B,12,COLECTIVA 12 CAJA C/12 VELADORAS DIVINA PROVIDENCIA C/ORACIÓN Y VASO CON AROMA  VARIOS,170,PZ,28.82097
2150951010,27501130572179,B,10,COLECTIVA 10 VELADORA S/VASO 70/1001 SIN AROMA  BLANCO,3890,PZ,1.64397
2160661000,7501130581757,B,0,COLECTIVA  PLASTILINA COMBATE 10 BARRAS (165 GRS)   VARIOS,46340,PZ,2.86021
2170661000,27501130561500,B,0,COLECTIVA  PLASTILINA COLORCITOS 10 BARRAS (165 GRS)   VARIOS,29288,PZ,2.98973
2180661000 (WM),7501130540143,B,0,COLECTIVA  PLASTILINA FLUORESCENTE ARCOIRIS 10 BARRAS (165 GRS)   VARIOS,#N/D,#N/D,#N/D
2170683000,27501130541663,B,0,COLECTIVA  CRAYONES CAJA C/12 DELGADO   VARIOS,4637,PZ,3.20081
2170684000,7501130541683,B,0,COLECTIVA  CRAYONES CAJA C/24 DELGADO   VARIOS,4297,PZ,3.65056
2170693000,7501130561018,B,0,COLECTIVA  CRAYONES CAJA C/12 JUMBO   VARIOS,4482,PZ,4.14347
2170694000,7501130561001,B,0,COLECTIVA  CRAYONES CAJA C/24 JUMBO   VARIOS,3979,PZ,9.46947
2170695010,7501130583553,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  10 BLANCO,13,PZ,39.64143
